Date,Activity,Symbol,Description,Quantity,Unit Price,Value,Held In,Account Nickname,Account Number
12/31/2024,reinvest interest,9999227,INSURED CASH ACCOUNT,-,-,	-$3.52,cash,Equities,4015
12/31/2024,sell,AVUV,AVANTIS U S SMALL CAP VALUE ETF,-174,$96.80,	$16842.73,cash,Equities,4015
12/31/2024,interest,9999227,"INSURED CASH ACCOUNT 123124        6,365 AS OF 2024-12-31 00:00:00",-,-,	$3.52,cash,Equities,4015
12/31/2024,buy,XMHQ,INVESCO S&P MIDCAP QUALITY ETF,169,$99.06,	-$16741.14,cash,Equities,4015
12/30/2024,ica transfer,9999227,INSURED CASH ACCOUNT,-,-,	-$212.58,cash,Equities,4015
12/27/2024,cash dividend,QQQJ,"INVESCO NASDAQ NEXT GEN 100 ETF 122724       1,505.30900 AS OF 2024-12-27 00:00:00",-,-,	$53.14,cash,Equities,4015
12/27/2024,dividend reinvest,QQQJ,INVESCO NASDAQ NEXT GEN 100 ETF,1.686,$0.00,	-$53.14,cash,Equities,4015
12/27/2024,dividend reinvest,NVDA,NVIDIA CORP,0.023,$0.00,	-$3.2,cash,Equities,4015
12/27/2024,cash dividend,NVDA,NVIDIA CORP 122724         320.21000 AS OF 2024-12-27 00:00:00,-,-,	$3.2,cash,Equities,4015
12/27/2024,sell,SOXX,ISHARES SEMICONDUCTOR ETF,-0.951,$223.53,	$212.58,cash,Equities,4015
12/26/2024,ica transfer,9999227,INSURED CASH ACCOUNT,-,-,	-$93.45,cash,Equities,4015
12/26/2024,cash dividend,XLY,CONSUMER DISCRETIONARY SELECT SECTOR SPDR ETF 122624         302.43100 AS OF 2024-12-26 00:00:00,-,-,	$130.99,cash,Equities,4015
12/26/2024,dividend reinvest,XLY,CONSUMER DISCRETIONARY SELECT SECTOR SPDR ETF,0.56,$0.00,	-$130.99,cash,Equities,4015
12/26/2024,dividend reinvest,XAR,SPDR S&P AEROSPACE & DEFENSE ETF,0.492,$0.00,	-$83.01,cash,Equities,4015
12/26/2024,cash dividend,XAR,SPDR S&P AEROSPACE & DEFENSE ETF 122624         145.52400 AS OF 2024-12-26 00:00:00,-,-,	$83.01,cash,Equities,4015
12/24/2024,buy,SMH,VANECK SEMICONDUCTOR ETF,133,$251.06,	-$33390.98,cash,Equities,4015
12/24/2024,sell,SOXX,ISHARES SEMICONDUCTOR ETF,-150,$223.24,	$33484.43,cash,Equities,4015
12/20/2024,dividend reinvest,SOXX,ISHARES SEMICONDUCTOR ETF,0.256,$0.00,	-$53.92,cash,Equities,4015
12/20/2024,cash dividend,SOXX,ISHARES SEMICONDUCTOR ETF 122024         150.69500 AS OF 2024-12-20 00:00:00,-,-,	$53.92,cash,Equities,4015
12/20/2024,dividend reinvest,IWM,ISHARES RUSSELL 2000 ETF,0.134,$0.00,	-$29.94,cash,Equities,4015
12/20/2024,cash dividend,IWM,ISHARES RUSSELL 2000 ETF 122024          43.14700 AS OF 2024-12-20 00:00:00,-,-,	$29.94,cash,Equities,4015
12/19/2024,dividend reinvest,AVUV,AVANTIS U S SMALL CAP VALUE ETF,0.776,$0.00,	-$75.47,cash,Equities,4015
12/19/2024,cash dividend,AVUV,AVANTIS U S SMALL CAP VALUE ETF 121924         173.70100 AS OF 2024-12-19 00:00:00,-,-,	$75.47,cash,Equities,4015
12/18/2024,ica transfer,9999227,INSURED CASH ACCOUNT,-,-,	$21269.28,cash,Equities,4015
12/17/2024,buy,DELL,DELL TECHNOLOGIES INC CL C,68,$118.43,	-$8053.24,cash,Equities,4015
12/17/2024,buy,ORCL,ORACLE CORP,78,$169.92,	-$13253.56,cash,Equities,4015
12/17/2024,sell,GD,GENERAL DYNAMICS CORP,-0.141,$266.07,	$37.52,cash,Equities,4015
