Date,Activity,Symbol,Description,Quantity,Unit Price,Value,Held In,Account Nickname,Account Number
12/31/2024,reinvest interest,9999227,INSURED CASH ACCOUNT,-,-,	-$1.95,cash,Bond Portfolio,56005516
12/31/2024,interest,9999227,"INSURED CASH ACCOUNT 123124       17,645 AS OF 2024-12-31 00:00:00",-,-,	$1.95,cash,Bond Portfolio,56005516
12/16/2024,ica transfer,9999227,INSURED CASH ACCOUNT,-,-,	-$250,cash,Bond Portfolio,56005516
12/16/2024,interest,79771TPV3,"SAN FRANCISCO CA CITY & CNTY UNI SCH DIST ELECT 2016 SER C B/E CPN  5.000% DUE 06/15/34 DTD 05/26/22 FC 06/15/22 121524      10,000 AS OF 2024-12-15 00:00:00",-,-,	$250,cash,Bond Portfolio,56005516
12/06/2024,ica transfer,9999227,INSURED CASH ACCOUNT,-,-,	-$13456.67,cash,Bond Portfolio,56005516
12/05/2024,sell,544647CE8,LOS ANGELES CA UNI SCH DIST RFDG SER A B/E CPN  5.000% DUE 07/01/26 DTD 10/06/20 FC 01/01/21,-15000,$103.76,	$15886.62,cash,Bond Portfolio,56005516
12/05/2024,sell,79768HCM8,SAN FRANCISCO CA PUB UTILS COMM WSTWTR REV RFDG SER A B/E PTC CPN  5.000% DUE 10/01/27 DTD 05/24/16 FC 10/01/16 CALL 10/01/25 @ 100.000,-15000,$101.56,	$15369.87,cash,Bond Portfolio,56005516
12/05/2024,buy,13063EBK1,CALIFORNIA ST VARIOUS PURP RFDG B/E PTC CPN  5.000% DUE 09/01/37 DTD 04/04/24 FC 09/01/24 CALL 03/01/34 @ 100.000,15000,$117.35,	-$17799.82,cash,Bond Portfolio,56005516
12/02/2024,interest,54466HJY3,"LOS ANGELES CNTY CA MET TRANSN AUTH SALES TAX JR SUB RFDG SER A REV B/E CPN  5.000% DUE 06/01/33 DTD 08/27/20 FC 12/01/20 120124      15,000 AS OF 2024-12-01 00:00:00",-,-,	$375,cash,Bond Portfolio,56005516
12/02/2024,ica transfer,9999227,INSURED CASH ACCOUNT,-,-,	-$591.67,cash,Bond Portfolio,56005516
12/02/2024,interest,66484EAE5,"NORTHERN CA SANTN AGYS FING AUTH REV RFDG SER A B/E CPN  5.000% DUE 12/01/28 DTD 06/25/24 FC 12/01/24 120124      10,000 AS OF 2024-12-01 00:00:00",-,-,	$216.67,cash,Bond Portfolio,56005516
11/29/2024,reinvest interest,9999227,INSURED CASH ACCOUNT,-,-,	-$0.81,cash,Bond Portfolio,56005516
11/29/2024,interest,9999227,"INSURED CASH ACCOUNT 112924        3,345 AS OF 2024-11-29 00:00:00",-,-,	$0.81,cash,Bond Portfolio,56005516
11/19/2024,ica transfer,9999227,INSURED CASH ACCOUNT,-,-,	$1750,cash,Bond Portfolio,56005516
11/19/2024,journal,CASH,INCOME DISTRIBUTION TRF TO AC#252740151,-,-,	-$1750,cash,Bond Portfolio,56005516
11/15/2024,interest,544445H36,"LOS ANGELES CA DEPT ARPTS INTL SR SER I GREEN BD REV B/E CPN  5.000% DUE 05/15/35 DTD 08/24/22 FC 11/15/22 111524      10,000 AS OF 2024-11-15 00:00:00",-,-,	$250,cash,Bond Portfolio,56005516
11/15/2024,ica transfer,9999227,INSURED CASH ACCOUNT,-,-,	-$1125,cash,Bond Portfolio,56005516
11/15/2024,interest,544445MQ9,"LOS ANGELES CA DEPT ARPT REV SUB LOS ANGELES INTL ARPT SER E B/E CPN  5.000% DUE 05/15/33 DTD 06/27/19 FC 11/15/19 111524      10,000 AS OF 2024-11-15 00:00:00",-,-,	$250,cash,Bond Portfolio,56005516
11/15/2024,interest,91412HNC3,"UNIVERSITY CA REV GENL RGT SER BK B/E CPN  5.000% DUE 05/15/32 DTD 09/14/22 FC 05/15/23 111524      15,000 AS OF 2024-11-15 00:00:00",-,-,	$375,cash,Bond Portfolio,56005516
11/15/2024,interest,13048T5L3,"CALIFORNIA MUN FIN AUTH RETIRE HSG FNDTN SER A REV B/E CPN  5.000% DUE 11/15/25 DTD 09/01/17 FC 11/15/17 111524      10,000 AS OF 2024-11-15 00:00:00",-,-,	$250,cash,Bond Portfolio,56005516
11/01/2024,interest,13068XCW7,"CALIFORNIA ST PUB WKS BRD LSE REV DEPT GENL SVCS NEW NAT RES C B/E CPN  5.000% DUE 11/01/33 DTD 11/17/21 FC 05/01/22 110124      10,000 AS OF 2024-11-01 00:00:00",-,-,	$250,cash,Bond Portfolio,56005516
11/01/2024,ica transfer,9999227,INSURED CASH ACCOUNT,-,-,	-$625,cash,Bond Portfolio,56005516
